U,RF
-0.0,-0.0
0.012561735697090626,943.1892700195312
0.02512347139418125,1886.3785400390625
0.04396607354283333,3301.162353515625
0.07222998142242432,5423.33837890625
0.11462584137916565,8606.6015625
0.17821963131427765,13381.4970703125
0.2512347102165222,18863.78515625
0.2512347102165222,18863.78515625
0.2916911840438843,20663.78515625
0.3321476876735687,22463.78515625
0.3928323984146118,25163.78515625
0.48385950922966003,29213.78515625
0.6204001307487488,35288.78515625
0.8474286794662476,44401.28515625
0.913614809513092,46679.41015625
0.9911140203475952,48957.53515625
1.0116811990737915,49527.06640625
1.033738374710083,50096.59765625
1.070603609085083,50950.89453125
1.1350528001785278,52232.33984375
1.261542558670044,54154.5078125
1.5405241250991821,57037.7578125
1.9337146282196045,59921.01171875
2.4322519302368164,62804.26171875
2.999262809753418,65687.515625
3.577686309814453,68570.765625
4.138284206390381,71454.015625
4.670121192932129,74337.2734375
5.415972709655762,78662.1484375
5.601107120513916,79743.3671875
5.781537055969238,80824.5859375
6.04312801361084,82446.4140625
6.429118633270264,84879.1640625
6.997794151306152,88528.2734375
7.210269451141357,89896.6953125
7.528672695159912,91949.3203125
8.02230167388916,95028.265625
8.212366104125977,96182.8671875
8.490569114685059,97914.7734375
8.909896850585938,100512.625
9.063894271850586,101486.828125
9.286210060119629,102948.1171875
9.607583999633789,105140.0625
9.727412223815918,105962.0390625
9.907495498657227,107195.0078125
10.177066802978516,109044.4609375
10.458588600158691,110893.90625
10.750399589538574,112743.359375
11.175555229187012,115517.5390625
11.32979965209961,116557.8515625
11.386693954467773,116947.96875
11.470053672790527,117533.1484375
11.591453552246094,118410.9140625
11.771342277526855,119727.5625
12.045844078063965,121702.5390625
12.463486671447754,124665.0
12.61777400970459,125775.921875
12.765280723571777,126886.8515625
12.911870002746582,127997.7734375
13.131982803344727,129664.15625
13.469594955444336,132163.734375
13.598694801330566,133101.078125
13.793864250183105,134507.09375
13.9905424118042,135913.109375
14.185044288635254,137319.109375
14.379046440124512,138725.125
14.741429328918457,140834.140625
14.840963363647461,141361.40625
14.94572925567627,141888.65625
15.115825653076172,142679.53125
15.398860931396484,143865.859375
15.509230613708496,144310.734375
15.682733535766602,144978.03125
15.95650577545166,145979.0
16.42646598815918,147480.4375
17.344715118408203,149732.59375
18.460092544555664,151984.765625
18.752506256103516,152547.796875
19.215435028076172,153392.359375
19.96363639831543,154659.203125
20.25249671936035,155134.265625
20.703908920288086,155846.859375
21.424829483032227,156915.765625
21.70185089111328,157316.59375
22.136579513549805,157917.84375
22.828100204467773,158819.734375
23.955448150634766,160172.546875
25.889671325683594,162201.78125
28.07673454284668,164231.015625
30.52625846862793,166260.25
33.267242431640625,168289.484375
33.98012924194336,168796.796875
34.715728759765625,169304.09375
35.871437072753906,170065.0625
37.72719192504883,171206.5
40.825164794921875,172918.671875
41.635154724121094,173346.71875
42.467044830322266,173774.75
43.75941848754883,174416.8125
44.252052307128906,174657.59375
45.003662109375,175018.75
46.15815353393555,175560.484375
47.95077133178711,176373.09375
50.77627182006836,177592.015625
55.26494216918945,179420.390625
56.99174880981445,180106.03125
59.659324645996094,181134.484375
63.84387969970703,182677.171875
70.56243133544922,184991.203125
72.28570556640625,185569.71875
74.0409927368164,186148.21875
76.74679565429688,187015.984375
77.7755126953125,187341.390625
79.34872436523438,187829.515625
79.49700927734375,187875.265625
79.7198715209961,187943.90625
80.0548095703125,188046.875
80.55732727050781,188201.3125
81.32005310058594,188432.984375
81.60731506347656,188519.859375
82.03999328613281,188650.171875
82.69259643554688,188845.640625
83.68004608154297,189138.828125
85.14753723144531,189578.640625
86.65325927734375,190018.4375
87.03189086914062,190128.390625
87.60301208496094,190293.3125
88.46781158447266,190540.703125
89.78083801269531,190911.78125
91.78580474853516,191468.40625
94.86734771728516,192303.34375
96.03612518310547,192616.4375
97.81069946289062,193086.09375
100.52455139160156,193790.5625
104.7091293334961,194847.28125
106.2967758178711,195243.546875
106.89485931396484,195392.140625
107.11952209472656,195447.875
107.45714569091797,195531.453125
107.9627914428711,195656.84375
108.72566223144531,195844.921875
109.88005065917969,196127.015625
111.6330795288086,196550.1875
114.3086166381836,197184.921875
115.3203125,197422.953125
116.85476684570312,197780.0
119.19203186035156,198315.5625
119.78022003173828,198449.453125
120.37093353271484,198583.34375
121.2282943725586,198784.1875
121.57908630371094,198863.78125
